trainNumber,departureDate,operatorUICCode,operatorShortCode,trainType,trainCategory,commuterLineID,runningCurrently,cancelled,version,timetableType,timetableAcceptanceDate,stationShortCode,stationUICCode,countryCode,type,trainStopping,commercialStop,commercialTrack,cancelled,scheduledTime,actualTime,differenceInMinutes,causes,trainReady,liveEstimateTime,estimateSource
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HLT,1014,FI,DEPARTURE,False,,,False,2020-03-02T07:55:00.000Z,2020-03-02T07:55:57.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HNN,1164,FI,ARRIVAL,False,,2,False,2020-03-02T08:00:00.000Z,2020-03-02T08:01:07.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HNN,1164,FI,DEPARTURE,False,,2,False,2020-03-02T08:00:00.000Z,2020-03-02T08:01:07.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SIP,1254,FI,ARRIVAL,False,,,False,2020-03-02T08:03:30.000Z,2020-03-02T08:04:30.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SIP,1254,FI,DEPARTURE,False,,,False,2020-03-02T08:03:30.000Z,2020-03-02T08:04:30.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,MLÄ,27,FI,ARRIVAL,False,,2,False,2020-03-02T08:06:30.000Z,2020-03-02T08:07:19.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,MLÄ,27,FI,DEPARTURE,False,,2,False,2020-03-02T08:06:30.000Z,2020-03-02T08:07:19.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KSU,1128,FI,ARRIVAL,False,,,False,2020-03-02T08:09:30.000Z,2020-03-02T08:10:06.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KSU,1128,FI,DEPARTURE,False,,,False,2020-03-02T08:09:30.000Z,2020-03-02T08:10:06.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HAA,13,FI,ARRIVAL,False,,2,False,2020-03-02T08:13:00.000Z,2020-03-02T08:13:34.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HAA,13,FI,DEPARTURE,False,,2,False,2020-03-02T08:13:00.000Z,2020-03-02T08:13:34.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KYT,1111,FI,ARRIVAL,False,,,False,2020-03-02T08:16:00.000Z,2020-03-02T08:16:18.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KYT,1111,FI,DEPARTURE,False,,,False,2020-03-02T08:16:00.000Z,2020-03-02T08:16:18.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KE,20,FI,ARRIVAL,False,,,False,2020-03-02T08:17:00.000Z,2020-03-02T08:17:08.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KE,20,FI,DEPARTURE,False,,,False,2020-03-02T08:17:00.000Z,2020-03-02T08:17:08.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SAV,555,FI,ARRIVAL,False,,,False,2020-03-02T08:18:24.000Z,2020-03-02T08:18:34.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SAV,555,FI,DEPARTURE,False,,,False,2020-03-02T08:18:24.000Z,2020-03-02T08:18:34.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KRS,19,FI,ARRIVAL,False,,,False,2020-03-02T08:20:20.000Z,2020-03-02T08:19:54.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KRS,19,FI,DEPARTURE,False,,,False,2020-03-02T08:20:20.000Z,2020-03-02T08:19:54.000Z,0,[],,,
